Day of Week Ending,Lineage Bin,Modeltype,Usa Or Hhsregion,Variant,95CI,Share
24-Jul-21,VOC,weighted,USA,B.1.617.2,93.8-95.1%,0.94461906
24-Jul-21,VOC,weighted,USA,B.1.1.529,,0
24-Jul-21,VOC,weighted,1,B.1.617.2,94.1-97.0%,0.957479537
24-Jul-21,VOC,weighted,1,B.1.1.529,,0
24-Jul-21,VOC,weighted,2,B.1.617.2,92.8-96.1%,0.946238935
24-Jul-21,VOC,weighted,2,B.1.1.529,,0
24-Jul-21,VOC,weighted,3,B.1.617.2,90.4-95.3%,0.931880176
24-Jul-21,VOC,weighted,3,B.1.1.529,,0
24-Jul-21,VOC,weighted,4,B.1.617.2,92.2-95.0%,0.93716377
24-Jul-21,VOC,weighted,4,B.1.1.529,,0
24-Jul-21,VOC,weighted,5,B.1.617.2,93.3-96.6%,0.951637328
24-Jul-21,VOC,weighted,5,B.1.1.529,,0
24-Jul-21,VOC,weighted,6,B.1.617.2,91.8-96.1%,0.942349017
24-Jul-21,VOC,weighted,6,B.1.1.529,,0
24-Jul-21,VOC,weighted,7,B.1.617.2,95.9-98.8%,0.976274729
24-Jul-21,VOC,weighted,7,B.1.1.529,,0
24-Jul-21,VOC,weighted,8,B.1.617.2,94.8-97.3%,0.961894095
24-Jul-21,VOC,weighted,8,B.1.1.529,,0
24-Jul-21,VOC,weighted,9,B.1.617.2,94.0-95.8%,0.949404776
24-Jul-21,VOC,weighted,9,B.1.1.529,,0
24-Jul-21,VOC,weighted,10,B.1.617.2,90.8-93.9%,0.924380779
24-Jul-21,VOC,weighted,10,B.1.1.529,,0
24-Jul-21,Other,weighted,USA,Other*,4.9-6.2%,0.055380963
24-Jul-21,Other,weighted,1,Other*,3.0-5.9%,0.042520463
24-Jul-21,Other,weighted,2,Other*,3.9-7.2%,0.053761076
24-Jul-21,Other,weighted,3,Other*,4.7-9.6%,0.068119824
24-Jul-21,Other,weighted,4,Other*,5.0-7.8%,0.062836215
24-Jul-21,Other,weighted,5,Other*,3.4-6.7%,0.048362691
24-Jul-21,Other,weighted,6,Other*,3.9-8.2%,0.057650961
24-Jul-21,Other,weighted,7,Other*,1.2-4.1%,0.023725273
24-Jul-21,Other,weighted,8,Other*,2.7-5.2%,0.038105875
24-Jul-21,Other,weighted,9,Other*,4.2-6.0%,0.050595235
24-Jul-21,Other,weighted,10,Other*,6.1-9.2%,0.075619191
31-Jul-21,VOC,weighted,USA,B.1.617.2,96.0-97.1%,0.96565038
31-Jul-21,VOC,weighted,USA,B.1.1.529,,0
31-Jul-21,VOC,weighted,1,B.1.617.2,94.7-97.0%,0.96003437
31-Jul-21,VOC,weighted,1,B.1.1.529,,0
31-Jul-21,VOC,weighted,2,B.1.617.2,95.8-98.4%,0.973047137
31-Jul-21,VOC,weighted,2,B.1.1.529,,0
31-Jul-21,VOC,weighted,3,B.1.617.2,97.0-98.3%,0.977031648
31-Jul-21,VOC,weighted,3,B.1.1.529,,0
31-Jul-21,VOC,weighted,4,B.1.617.2,94.4-97.2%,0.959597051
31-Jul-21,VOC,weighted,4,B.1.1.529,,0
31-Jul-21,VOC,weighted,5,B.1.617.2,96.6-98.0%,0.973806918
31-Jul-21,VOC,weighted,5,B.1.1.529,,0
31-Jul-21,VOC,weighted,6,B.1.617.2,95.9-97.4%,0.966921329
31-Jul-21,VOC,weighted,6,B.1.1.529,,0
31-Jul-21,VOC,weighted,7,B.1.617.2,95.7-99.0%,0.977836013
31-Jul-21,VOC,weighted,7,B.1.1.529,,0
31-Jul-21,VOC,weighted,8,B.1.617.2,95.6-97.9%,0.969504654
31-Jul-21,VOC,weighted,8,B.1.1.529,,0
31-Jul-21,VOC,weighted,9,B.1.617.2,95.6-97.4%,0.965953231
31-Jul-21,VOC,weighted,9,B.1.1.529,,0
31-Jul-21,VOC,weighted,10,B.1.617.2,94.7-97.1%,0.960314035
31-Jul-21,VOC,weighted,10,B.1.1.529,,0
31-Jul-21,Other,weighted,USA,Other*,2.9-4.0%,0.034349617
31-Jul-21,Other,weighted,1,Other*,3.0-5.3%,0.039965637
31-Jul-21,Other,weighted,2,Other*,1.6-4.2%,0.02695285
31-Jul-21,Other,weighted,3,Other*,1.7-3.0%,0.022968357
31-Jul-21,Other,weighted,4,Other*,2.8-5.6%,0.040402971
31-Jul-21,Other,weighted,5,Other*,2.0-3.4%,0.026193097
31-Jul-21,Other,weighted,6,Other*,2.6-4.1%,0.0330787
31-Jul-21,Other,weighted,7,Other*,1.0-4.3%,0.022163978
31-Jul-21,Other,weighted,8,Other*,2.1-4.4%,0.030495366
31-Jul-21,Other,weighted,9,Other*,2.6-4.4%,0.03404678
31-Jul-21,Other,weighted,10,Other*,2.9-5.3%,0.039685957
07-Aug-21,VOC,weighted,USA,B.1.617.2,96.3-97.8%,0.971352518
07-Aug-21,VOC,weighted,USA,B.1.1.529,,0
07-Aug-21,VOC,weighted,1,B.1.617.2,96.8-98.4%,0.976773381
07-Aug-21,VOC,weighted,1,B.1.1.529,,0
07-Aug-21,VOC,weighted,2,B.1.617.2,95.3-98.5%,0.972120106
07-Aug-21,VOC,weighted,2,B.1.1.529,,0
07-Aug-21,VOC,weighted,3,B.1.617.2,97.3-99.1%,0.983484983
07-Aug-21,VOC,weighted,3,B.1.1.529,,0
07-Aug-21,VOC,weighted,4,B.1.617.2,94.9-97.9%,0.966027081
07-Aug-21,VOC,weighted,4,B.1.1.529,,0
07-Aug-21,VOC,weighted,5,B.1.617.2,97.5-98.9%,0.982940078
07-Aug-21,VOC,weighted,5,B.1.1.529,,0
07-Aug-21,VOC,weighted,6,B.1.617.2,94.2-97.5%,0.96114558
07-Aug-21,VOC,weighted,6,B.1.1.529,,0
07-Aug-21,VOC,weighted,7,B.1.617.2,92.7-99.5%,0.974572837
07-Aug-21,VOC,weighted,7,B.1.1.529,,0
07-Aug-21,VOC,weighted,8,B.1.617.2,97.2-99.3%,0.98510474
07-Aug-21,VOC,weighted,8,B.1.1.529,,0
07-Aug-21,VOC,weighted,9,B.1.617.2,95.6-99.0%,0.976710379
07-Aug-21,VOC,weighted,9,B.1.1.529,,0
07-Aug-21,VOC,weighted,10,B.1.617.2,96.7-98.4%,0.976765573
07-Aug-21,VOC,weighted,10,B.1.1.529,,0
07-Aug-21,Other,weighted,USA,Other*,2.2-3.7%,0.028647494
07-Aug-21,Other,weighted,1,Other*,1.6-3.2%,0.023226637
07-Aug-21,Other,weighted,2,Other*,1.5-4.7%,0.027879881
07-Aug-21,Other,weighted,3,Other*,0.9-2.7%,0.016515011
07-Aug-21,Other,weighted,4,Other*,2.1-5.1%,0.03397293
07-Aug-21,Other,weighted,5,Other*,1.1-2.5%,0.017059894
07-Aug-21,Other,weighted,6,Other*,2.5-5.8%,0.038854431
07-Aug-21,Other,weighted,7,Other*,0.5-7.3%,0.025427181
07-Aug-21,Other,weighted,8,Other*,0.7-2.8%,0.014895267
07-Aug-21,Other,weighted,9,Other*,1.0-4.4%,0.023289593
07-Aug-21,Other,weighted,10,Other*,1.6-3.3%,0.023234434
14-Aug-21,VOC,weighted,USA,B.1.617.2,98.5-99.0%,0.987772226
14-Aug-21,VOC,weighted,USA,B.1.1.529,,0
14-Aug-21,VOC,weighted,1,B.1.617.2,97.9-99.1%,0.98573637
14-Aug-21,VOC,weighted,1,B.1.1.529,,0
14-Aug-21,VOC,weighted,2,B.1.617.2,97.7-99.6%,0.989678383
14-Aug-21,VOC,weighted,2,B.1.1.529,,0
14-Aug-21,VOC,weighted,3,B.1.617.2,98.5-99.5%,0.990777969
14-Aug-21,VOC,weighted,3,B.1.1.529,,0
14-Aug-21,VOC,weighted,4,B.1.617.2,97.6-99.1%,0.984756231
14-Aug-21,VOC,weighted,4,B.1.1.529,,0
14-Aug-21,VOC,weighted,5,B.1.617.2,98.6-99.5%,0.99159652
14-Aug-21,VOC,weighted,5,B.1.1.529,,0
14-Aug-21,VOC,weighted,6,B.1.617.2,98.0-99.0%,0.98590374
14-Aug-21,VOC,weighted,6,B.1.1.529,,0
14-Aug-21,VOC,weighted,7,B.1.617.2,99.0-100.0%,0.998428166
14-Aug-21,VOC,weighted,7,B.1.1.529,,0
14-Aug-21,VOC,weighted,8,B.1.617.2,96.6-99.3%,0.982957006
14-Aug-21,VOC,weighted,8,B.1.1.529,,0
14-Aug-21,VOC,weighted,9,B.1.617.2,98.5-99.3%,0.989936948
14-Aug-21,VOC,weighted,9,B.1.1.529,,0
14-Aug-21,VOC,weighted,10,B.1.617.2,98.4-99.2%,0.989000857
14-Aug-21,VOC,weighted,10,B.1.1.529,,0
14-Aug-21,Other,weighted,USA,Other*,1.0-1.5%,0.012227768
14-Aug-21,Other,weighted,1,Other*,0.9-2.1%,0.014263647
14-Aug-21,Other,weighted,2,Other*,0.4-2.3%,0.010321618
14-Aug-21,Other,weighted,3,Other*,0.5-1.5%,0.009222026
14-Aug-21,Other,weighted,4,Other*,0.9-2.4%,0.015243752
14-Aug-21,Other,weighted,5,Other*,0.5-1.4%,0.008403456
14-Aug-21,Other,weighted,6,Other*,1.0-2.0%,0.01409624
14-Aug-21,Other,weighted,7,Other*,0.0-1.0%,0.001571841
14-Aug-21,Other,weighted,8,Other*,0.7-3.4%,0.017043022
14-Aug-21,Other,weighted,9,Other*,0.7-1.5%,0.010063026
14-Aug-21,Other,weighted,10,Other*,0.8-1.6%,0.010999115
21-Aug-21,VOC,weighted,USA,B.1.617.2,98.4-99.2%,0.988819957
21-Aug-21,VOC,weighted,USA,B.1.1.529,,0
21-Aug-21,VOC,weighted,1,B.1.617.2,97.8-99.4%,0.98743242
21-Aug-21,VOC,weighted,1,B.1.1.529,,0
21-Aug-21,VOC,weighted,2,B.1.617.2,98.6-99.6%,0.992200732
21-Aug-21,VOC,weighted,2,B.1.1.529,,0
21-Aug-21,VOC,weighted,3,B.1.617.2,98.8-99.8%,0.994059026
21-Aug-21,VOC,weighted,3,B.1.1.529,,0
21-Aug-21,VOC,weighted,4,B.1.617.2,97.1-99.3%,0.984923482
21-Aug-21,VOC,weighted,4,B.1.1.529,,0
21-Aug-21,VOC,weighted,5,B.1.617.2,98.3-99.7%,0.991680324
21-Aug-21,VOC,weighted,5,B.1.1.529,,0
21-Aug-21,VOC,weighted,6,B.1.617.2,97.3-99.4%,0.98634243
21-Aug-21,VOC,weighted,6,B.1.1.529,,0
21-Aug-21,VOC,weighted,7,B.1.617.2,96.3-99.8%,0.988971472
21-Aug-21,VOC,weighted,7,B.1.1.529,,0
21-Aug-21,VOC,weighted,8,B.1.617.2,99.1-99.9%,0.99678731
21-Aug-21,VOC,weighted,8,B.1.1.529,,0
21-Aug-21,VOC,weighted,9,B.1.617.2,98.5-99.6%,0.991923034
21-Aug-21,VOC,weighted,9,B.1.1.529,,0
21-Aug-21,VOC,weighted,10,B.1.617.2,98.8-99.4%,0.991627991
21-Aug-21,VOC,weighted,10,B.1.1.529,,0
21-Aug-21,Other,weighted,USA,Other*,0.8-1.6%,0.01118007
21-Aug-21,Other,weighted,1,Other*,0.6-2.2%,0.012567587
21-Aug-21,Other,weighted,2,Other*,0.4-1.4%,0.007799282
21-Aug-21,Other,weighted,3,Other*,0.2-1.2%,0.005940965
21-Aug-21,Other,weighted,4,Other*,0.7-2.9%,0.015076545
21-Aug-21,Other,weighted,5,Other*,0.3-1.7%,0.008319667
21-Aug-21,Other,weighted,6,Other*,0.6-2.7%,0.013657567
21-Aug-21,Other,weighted,7,Other*,0.2-3.7%,0.011028549
21-Aug-21,Other,weighted,8,Other*,0.1-0.9%,0.00321267
21-Aug-21,Other,weighted,9,Other*,0.4-1.5%,0.008076952
21-Aug-21,Other,weighted,10,Other*,0.6-1.2%,0.008372015
28-Aug-21,VOC,weighted,USA,B.1.617.2,97.8-99.1%,0.985151649
28-Aug-21,VOC,weighted,USA,B.1.1.529,,0
28-Aug-21,VOC,weighted,1,B.1.617.2,98.3-99.7%,0.991897345
28-Aug-21,VOC,weighted,1,B.1.1.529,,0
28-Aug-21,VOC,weighted,2,B.1.617.2,97.2-99.6%,0.987601876
28-Aug-21,VOC,weighted,2,B.1.1.529,,0
28-Aug-21,VOC,weighted,3,B.1.617.2,98.4-99.7%,0.992298067
28-Aug-21,VOC,weighted,3,B.1.1.529,,0
28-Aug-21,VOC,weighted,4,B.1.617.2,96.9-99.3%,0.98375535
28-Aug-21,VOC,weighted,4,B.1.1.529,,0
28-Aug-21,VOC,weighted,5,B.1.617.2,97.4-99.4%,0.986174941
28-Aug-21,VOC,weighted,5,B.1.1.529,,0
28-Aug-21,VOC,weighted,6,B.1.617.2,93.8-99.1%,0.972812235
28-Aug-21,VOC,weighted,6,B.1.1.529,,0
28-Aug-21,VOC,weighted,7,B.1.617.2,96.2-99.6%,0.984649479
28-Aug-21,VOC,weighted,7,B.1.1.529,,0
28-Aug-21,VOC,weighted,8,B.1.617.2,97.6-99.9%,0.992597401
28-Aug-21,VOC,weighted,8,B.1.1.529,,0
28-Aug-21,VOC,weighted,9,B.1.617.2,96.7-99.9%,0.990104556
28-Aug-21,VOC,weighted,9,B.1.1.529,,0
28-Aug-21,VOC,weighted,10,B.1.617.2,98.8-99.8%,0.994322777
28-Aug-21,VOC,weighted,10,B.1.1.529,,0
28-Aug-21,Other,weighted,USA,Other*,0.9-2.2%,0.01484836
28-Aug-21,Other,weighted,1,Other*,0.3-1.7%,0.008102678
28-Aug-21,Other,weighted,2,Other*,0.4-2.8%,0.012398129
28-Aug-21,Other,weighted,3,Other*,0.3-1.6%,0.007701905
28-Aug-21,Other,weighted,4,Other*,0.7-3.1%,0.016244676
28-Aug-21,Other,weighted,5,Other*,0.6-2.6%,0.013825088
28-Aug-21,Other,weighted,6,Other*,0.9-6.2%,0.027187787
28-Aug-21,Other,weighted,7,Other*,0.4-3.8%,0.015350535
28-Aug-21,Other,weighted,8,Other*,0.1-2.4%,0.007402598
28-Aug-21,Other,weighted,9,Other*,0.1-3.3%,0.009895461
28-Aug-21,Other,weighted,10,Other*,0.2-1.2%,0.005677196
04-Sep-21,VOC,weighted,USA,B.1.617.2,98.8-99.5%,0.991731048
04-Sep-21,VOC,weighted,USA,B.1.1.529,,0
04-Sep-21,VOC,weighted,1,B.1.617.2,99.2-99.9%,0.996287048
04-Sep-21,VOC,weighted,1,B.1.1.529,,0
04-Sep-21,VOC,weighted,2,B.1.617.2,98.4-99.9%,0.994410932
04-Sep-21,VOC,weighted,2,B.1.1.529,,0
04-Sep-21,VOC,weighted,3,B.1.617.2,99.2-99.9%,0.9967224
04-Sep-21,VOC,weighted,3,B.1.1.529,,0
04-Sep-21,VOC,weighted,4,B.1.617.2,97.8-99.5%,0.988571465
04-Sep-21,VOC,weighted,4,B.1.1.529,,0
04-Sep-21,VOC,weighted,5,B.1.617.2,98.8-99.7%,0.993456721
04-Sep-21,VOC,weighted,5,B.1.1.529,,0
04-Sep-21,VOC,weighted,6,B.1.617.2,97.4-99.6%,0.988814652
04-Sep-21,VOC,weighted,6,B.1.1.529,,0
04-Sep-21,VOC,weighted,7,B.1.617.2,98.1-99.9%,0.993541598
04-Sep-21,VOC,weighted,7,B.1.1.529,,0
04-Sep-21,VOC,weighted,8,B.1.617.2,97.3-99.7%,0.989549696
04-Sep-21,VOC,weighted,8,B.1.1.529,,0
04-Sep-21,VOC,weighted,9,B.1.617.2,98.0-99.8%,0.992207229
04-Sep-21,VOC,weighted,9,B.1.1.529,,0
04-Sep-21,VOC,weighted,10,B.1.617.2,99.6-100.0%,0.998560965
04-Sep-21,VOC,weighted,10,B.1.1.529,,0
04-Sep-21,Other,weighted,USA,Other*,0.5-1.2%,0.008268977
04-Sep-21,Other,weighted,1,Other*,0.1-0.8%,0.003712967
04-Sep-21,Other,weighted,2,Other*,0.1-1.6%,0.005589053
04-Sep-21,Other,weighted,3,Other*,0.1-0.8%,0.003277608
04-Sep-21,Other,weighted,4,Other*,0.5-2.2%,0.011428558
04-Sep-21,Other,weighted,5,Other*,0.3-1.2%,0.006543252
04-Sep-21,Other,weighted,6,Other*,0.4-2.6%,0.011185341
04-Sep-21,Other,weighted,7,Other*,0.1-1.9%,0.006458408
04-Sep-21,Other,weighted,8,Other*,0.3-2.7%,0.010450312
04-Sep-21,Other,weighted,9,Other*,0.2-2.0%,0.007792758
04-Sep-21,Other,weighted,10,Other*,0.0-0.4%,0.001439013
11-Sep-21,VOC,weighted,USA,B.1.617.2,98.9-99.5%,0.99274236
11-Sep-21,VOC,weighted,USA,B.1.1.529,,0
11-Sep-21,VOC,weighted,1,B.1.617.2,99.7-99.9%,0.998281062
11-Sep-21,VOC,weighted,1,B.1.1.529,,0
11-Sep-21,VOC,weighted,2,B.1.617.2,99.2-99.9%,0.996972919
11-Sep-21,VOC,weighted,2,B.1.1.529,,0
11-Sep-21,VOC,weighted,3,B.1.617.2,99.4-99.9%,0.997157156
11-Sep-21,VOC,weighted,3,B.1.1.529,,0
11-Sep-21,VOC,weighted,4,B.1.617.2,98.0-99.6%,0.990236938
11-Sep-21,VOC,weighted,4,B.1.1.529,,0
11-Sep-21,VOC,weighted,5,B.1.617.2,98.8-99.6%,0.992989361
11-Sep-21,VOC,weighted,5,B.1.1.529,,0
11-Sep-21,VOC,weighted,6,B.1.617.2,97.3-99.6%,0.988616228
11-Sep-21,VOC,weighted,6,B.1.1.529,,0
11-Sep-21,VOC,weighted,7,B.1.617.2,98.1-99.7%,0.991020501
11-Sep-21,VOC,weighted,7,B.1.1.529,,0
11-Sep-21,VOC,weighted,8,B.1.617.2,98.2-99.8%,0.992814481
11-Sep-21,VOC,weighted,8,B.1.1.529,,0
11-Sep-21,VOC,weighted,9,B.1.617.2,99.1-99.8%,0.995734453
11-Sep-21,VOC,weighted,9,B.1.1.529,,0
11-Sep-21,VOC,weighted,10,B.1.617.2,98.8-99.8%,0.995010257
11-Sep-21,VOC,weighted,10,B.1.1.529,,0
11-Sep-21,Other,weighted,USA,Other*,0.5-1.1%,0.007257657
11-Sep-21,Other,weighted,1,Other*,0.1-0.3%,0.001718955
11-Sep-21,Other,weighted,2,Other*,0.1-0.8%,0.003027059
11-Sep-21,Other,weighted,3,Other*,0.1-0.6%,0.002842848
11-Sep-21,Other,weighted,4,Other*,0.4-2.0%,0.009763087
11-Sep-21,Other,weighted,5,Other*,0.4-1.2%,0.007010647
11-Sep-21,Other,weighted,6,Other*,0.4-2.7%,0.011383757
11-Sep-21,Other,weighted,7,Other*,0.3-1.9%,0.008979472
11-Sep-21,Other,weighted,8,Other*,0.2-1.8%,0.007185519
11-Sep-21,Other,weighted,9,Other*,0.2-0.9%,0.00426552
11-Sep-21,Other,weighted,10,Other*,0.2-1.2%,0.004989765
18-Sep-21,VOC,weighted,USA,B.1.617.2,98.6-99.4%,0.990823805
18-Sep-21,VOC,weighted,USA,B.1.1.529,,0
18-Sep-21,VOC,weighted,1,B.1.617.2,99.5-99.9%,0.997953773
18-Sep-21,VOC,weighted,1,B.1.1.529,,0
18-Sep-21,VOC,weighted,2,B.1.617.2,91.9-99.9%,0.982758522
18-Sep-21,VOC,weighted,2,B.1.1.529,,0
18-Sep-21,VOC,weighted,3,B.1.617.2,99.2-99.9%,0.996840537
18-Sep-21,VOC,weighted,3,B.1.1.529,,0
18-Sep-21,VOC,weighted,4,B.1.617.2,97.6-99.4%,0.98683095
18-Sep-21,VOC,weighted,4,B.1.1.529,,0
18-Sep-21,VOC,weighted,5,B.1.617.2,98.6-99.6%,0.991899073
18-Sep-21,VOC,weighted,5,B.1.1.529,,0
18-Sep-21,VOC,weighted,6,B.1.617.2,96.8-99.4%,0.984548509
18-Sep-21,VOC,weighted,6,B.1.1.529,,0
18-Sep-21,VOC,weighted,7,B.1.617.2,98.6-99.9%,0.99484992
18-Sep-21,VOC,weighted,7,B.1.1.529,,0
18-Sep-21,VOC,weighted,8,B.1.617.2,98.5-99.8%,0.994153023
18-Sep-21,VOC,weighted,8,B.1.1.529,,0
18-Sep-21,VOC,weighted,9,B.1.617.2,98.7-99.9%,0.99602735
18-Sep-21,VOC,weighted,9,B.1.1.529,,0
18-Sep-21,VOC,weighted,10,B.1.617.2,98.9-99.8%,0.99517554
18-Sep-21,VOC,weighted,10,B.1.1.529,,0
18-Sep-21,Other,weighted,USA,Other*,0.6-1.4%,0.009176203
18-Sep-21,Other,weighted,1,Other*,0.1-0.5%,0.002046235
18-Sep-21,Other,weighted,2,Other*,0.1-8.1%,0.017241471
18-Sep-21,Other,weighted,3,Other*,0.1-0.8%,0.00315945
18-Sep-21,Other,weighted,4,Other*,0.6-2.4%,0.013169073
18-Sep-21,Other,weighted,5,Other*,0.4-1.4%,0.008100918
18-Sep-21,Other,weighted,6,Other*,0.6-3.2%,0.01545151
18-Sep-21,Other,weighted,7,Other*,0.1-1.4%,0.005150072
18-Sep-21,Other,weighted,8,Other*,0.2-1.5%,0.00584699
18-Sep-21,Other,weighted,9,Other*,0.1-1.3%,0.003972636
18-Sep-21,Other,weighted,10,Other*,0.2-1.1%,0.004824453
25-Sep-21,VOC,weighted,USA,B.1.617.2,98.9-99.5%,0.992281139
25-Sep-21,VOC,weighted,USA,B.1.1.529,,0
25-Sep-21,VOC,weighted,1,B.1.617.2,98.4-100.0%,0.995877504
25-Sep-21,VOC,weighted,1,B.1.1.529,,0
25-Sep-21,VOC,weighted,2,B.1.617.2,98.9-99.9%,0.996337235
25-Sep-21,VOC,weighted,2,B.1.1.529,,0
25-Sep-21,VOC,weighted,3,B.1.617.2,98.8-99.9%,0.995011508
25-Sep-21,VOC,weighted,3,B.1.1.529,,0
25-Sep-21,VOC,weighted,4,B.1.617.2,98.0-99.4%,0.988263607
25-Sep-21,VOC,weighted,4,B.1.1.529,,0
25-Sep-21,VOC,weighted,5,B.1.617.2,98.9-99.7%,0.994060636
25-Sep-21,VOC,weighted,5,B.1.1.529,,0
25-Sep-21,VOC,weighted,6,B.1.617.2,96.9-99.6%,0.987200618
25-Sep-21,VOC,weighted,6,B.1.1.529,,0
25-Sep-21,VOC,weighted,7,B.1.617.2,96.2-99.8%,0.988797367
25-Sep-21,VOC,weighted,7,B.1.1.529,,0
25-Sep-21,VOC,weighted,8,B.1.617.2,98.9-99.8%,0.995108306
25-Sep-21,VOC,weighted,8,B.1.1.529,,0
25-Sep-21,VOC,weighted,9,B.1.617.2,97.4-100.0%,0.993913472
25-Sep-21,VOC,weighted,9,B.1.1.529,,0
25-Sep-21,VOC,weighted,10,B.1.617.2,99.4-100.0%,0.997930646
25-Sep-21,VOC,weighted,10,B.1.1.529,,0
25-Sep-21,Other,weighted,USA,Other*,0.5-1.1%,0.007718858
25-Sep-21,Other,weighted,1,Other*,0.0-1.6%,0.004122508
25-Sep-21,Other,weighted,2,Other*,0.1-1.1%,0.003662756
25-Sep-21,Other,weighted,3,Other*,0.1-1.2%,0.004988477
25-Sep-21,Other,weighted,4,Other*,0.6-2.0%,0.01173639
25-Sep-21,Other,weighted,5,Other*,0.3-1.1%,0.005939372
25-Sep-21,Other,weighted,6,Other*,0.4-3.1%,0.012799399
25-Sep-21,Other,weighted,7,Other*,0.2-3.8%,0.01120264
25-Sep-21,Other,weighted,8,Other*,0.2-1.1%,0.004891722
25-Sep-21,Other,weighted,9,Other*,0.0-2.6%,0.006086544
25-Sep-21,Other,weighted,10,Other*,0.0-0.6%,0.002069342
02-Oct-21,VOC,weighted,USA,B.1.617.2,98.9-99.5%,0.992403209
02-Oct-21,VOC,weighted,USA,B.1.1.529,,0
02-Oct-21,VOC,weighted,1,B.1.617.2,99.1-99.9%,0.996949792
02-Oct-21,VOC,weighted,1,B.1.1.529,,0
02-Oct-21,VOC,weighted,2,B.1.617.2,96.6-99.9%,0.991686821
02-Oct-21,VOC,weighted,2,B.1.1.529,,0
02-Oct-21,VOC,weighted,3,B.1.617.2,98.8-99.9%,0.995444238
02-Oct-21,VOC,weighted,3,B.1.1.529,,0
02-Oct-21,VOC,weighted,4,B.1.617.2,97.9-99.4%,0.988537848
02-Oct-21,VOC,weighted,4,B.1.1.529,,0
02-Oct-21,VOC,weighted,5,B.1.617.2,98.6-99.5%,0.99131006
02-Oct-21,VOC,weighted,5,B.1.1.529,,0
02-Oct-21,VOC,weighted,6,B.1.617.2,96.0-99.6%,0.98519063
02-Oct-21,VOC,weighted,6,B.1.1.529,,0
02-Oct-21,VOC,weighted,7,B.1.617.2,98.6-99.9%,0.995419562
02-Oct-21,VOC,weighted,7,B.1.1.529,,0
02-Oct-21,VOC,weighted,8,B.1.617.2,99.3-100.0%,0.99792701
02-Oct-21,VOC,weighted,8,B.1.1.529,,0
02-Oct-21,VOC,weighted,9,B.1.617.2,98.8-100.0%,0.996880293
02-Oct-21,VOC,weighted,9,B.1.1.529,,0
02-Oct-21,VOC,weighted,10,B.1.617.2,99.1-99.9%,0.996690989
02-Oct-21,VOC,weighted,10,B.1.1.529,,0
02-Oct-21,Other,weighted,USA,Other*,0.5-1.1%,0.007596785
02-Oct-21,Other,weighted,1,Other*,0.1-0.9%,0.003050226
02-Oct-21,Other,weighted,2,Other*,0.1-3.4%,0.008313206
02-Oct-21,Other,weighted,3,Other*,0.1-1.2%,0.004555752
02-Oct-21,Other,weighted,4,Other*,0.6-2.1%,0.011462129
02-Oct-21,Other,weighted,5,Other*,0.5-1.4%,0.008689944
02-Oct-21,Other,weighted,6,Other*,0.4-4.0%,0.014809341
02-Oct-21,Other,weighted,7,Other*,0.1-1.4%,0.004580416
02-Oct-21,Other,weighted,8,Other*,0.0-0.7%,0.002072987
02-Oct-21,Other,weighted,9,Other*,0.0-1.2%,0.003119689
02-Oct-21,Other,weighted,10,Other*,0.1-0.9%,0.003309001
09-Oct-21,VOC,weighted,USA,B.1.617.2,98.8-99.4%,0.991178513
09-Oct-21,VOC,weighted,USA,B.1.1.529,,0
09-Oct-21,VOC,weighted,1,B.1.617.2,98.9-100.0%,0.997329473
09-Oct-21,VOC,weighted,1,B.1.1.529,,0
09-Oct-21,VOC,weighted,2,B.1.617.2,97.2-99.7%,0.988900542
